"NUM";"TITLE";"genre"
201;"철권7 DLC14 '파캄람' (한국어판)";"액션"
202;"철권7 DLC14 '파캄람' (한국어판)";"격투"
203;"철권7 DLC15 'CAVE OF ENLIGHTENMENT' (한국어판)";"격투"
204;"철권7 DLC15 'CAVE OF ENLIGHTENMENT' (한국어판)";"액션"
205;"철권7 DLC15 'CAVE OF ENLIGHTENMENT' (한국어판)";"격투"
206;"철권7 DLC2 ""기스 하워드"" 팩 (한국어판)";"격투"
207;"철권7 DLC2 ""기스 하워드"" 팩 (한국어판)";"액션"
208;"철권7 DLC2 ""기스 하워드"" 팩 (한국어판)";"격투"
209;"철권 7 DLC3 ""녹티스 루시스 카일룸"" 팩 (한국어판)";"격투"
210;"철권 7 DLC3 ""녹티스 루시스 카일룸"" 팩 (한국어판)";"액션"
211;"철권 7 DLC3 ""녹티스 루시스 카일룸"" 팩 (한국어판)";"격투"
212;"철권 7 DLC4 ""안나 윌리엄스"" (한국어판)";"격투"
213;"철권 7 DLC4 ""안나 윌리엄스"" (한국어판)";"액션"
214;"철권 7 DLC4 ""안나 윌리엄스"" (한국어판)";"격투"
215;"철권 7 DLC5 ""레이 우롱"" (한국어판)";"격투"
216;"철권 7 DLC5 ""레이 우롱"" (한국어판)";"액션"
217;"철권 7 DLC5 ""레이 우롱"" (한국어판)";"격투"
218;"철권7 DLC6 ""크레이그 머독"" (한국어판)";"격투"
219;"철권7 DLC6 ""크레이그 머독"" (한국어판)";"액션"
220;"철권7 DLC6 ""크레이그 머독"" (한국어판)";"격투"
221;"철권7 DLC7 ""아머 킹"" (한국어판)";"격투"
222;"철권7 DLC7 ""아머 킹"" (한국어판)";"액션"
223;"철권7 DLC7 ""아머 킹"" (한국어판)";"격투"
224;"철권7 DLC8 ""줄리아 창"" (한국어판)";"격투"
225;"철권7 DLC8 ""줄리아 창"" (한국어판)";"액션"
226;"철권7 DLC8 ""줄리아 창"" (한국어판)";"격투"
227;"철권7 DLC9 ""네간"" (한국어판)";"격투"
228;"철권7 DLC9 ""네간"" (한국어판)";"액션"
229;"철권7 DLC9 ""네간"" (한국어판)";"격투"
230;"철권7 DLC16 「쿠니미츠」 (한국어판)";"격투"
231;"철권7 DLC16 「쿠니미츠」 (한국어판)";"액션"
