"NUM";"TITLE";"PRICE";"SALEPRICE";"SALEPER";"DESCRIPTION";"IMGDATA";"GAMEIMG";"URL";"VARIA"
194;"Watch Dogs Legion : Bloodline";"₩ 16,900";"₩ 5,910";"-65%";"";"https://cdn.cloudflare.steamstatic.com/steam/apps/2239577/header.jpg?t=1674755825";"https://cdn.cloudflare.steamstatic.com/steam/apps/2239577/ss_90c161dc4f5e1b6e6910767f93b650bd9913daea.1920x1080.jpg?t=1674755825";"https://store.steampowered.com/app/2239577/Watch_Dogs_Legion__Bloodline?snr=1_2300_4__salebrowseall";1
195;"조선메타실록";"₩ 18,500";"₩ 16,650";"-10%";"조선시대에서 살아남는 3D 오픈월드 생존 탐험게임입니다 플레이어는 노비부터 시작해서 조선에서 신분을 바꾸고 살아남고 도망칩니다 전국을 돌아다니며 오픈월드에서 수백 개의 조선시대 유적들을 탐험하고 사냥과 채집을 통해 다양한 아이템을 제작해서 생존합니다 다양한 활동을 통해 여러분만의 역사를 써내려 갈 수 있습니다";"https://cdn.cloudflare.steamstatic.com/steam/apps/2216600/header_koreana.jpg?t=1680265154";"https://cdn.cloudflare.steamstatic.com/steam/apps/2216600/ss_a4c13b1a487045de4be9ca74c744b218117b6edc.1920x1080.jpg?t=1680265154";"https://store.steampowered.com/app/2216600/?snr=1_2300_4__salebrowseall";1
196;"Dead Island Retro Revenge";"₩ 5,100";"₩ 1,270";"-75%";"Time for some 16bit retro revenge When his beloved cat gets kidnapped Max sets out across a zombieinfested California to get him back by force";"https://cdn.cloudflare.steamstatic.com/steam/apps/337360/header.jpg?t=1669391185";"https://cdn.cloudflare.steamstatic.com/steam/apps/337360/ss_a65c20845100b84bb63832a142f379db54481567.1920x1080.jpg?t=1669391185";"https://store.steampowered.com/app/337360/Dead_Island_Retro_Revenge?snr=1_2300_4__salebrowseall";1
197;"Citizen Sleeper";"₩ 21,500";"₩ 12,900";"-40%";"우주 자본주의의 폐허를 배경으로 펼쳐지는 롤플레잉 게임 성간 사회의 변경에 있는 무법천지 정거장에 휩쓸려 온 탈주 노동자의 삶을 살아 보세요 TRPG의 유연성과 자유에서 영감을 얻어 우주 정거장을 탐험하고 친구를 선택하고 과거에서 벗어나 미래를 바꾸세요";"https://cdn.cloudflare.steamstatic.com/steam/apps/1578650/header.jpg?t=1697414135";"https://cdn.cloudflare.steamstatic.com/steam/apps/1578650/ss_6b528fa7988c1e5048871f3c530be67ce574eadb.1920x1080.jpg?t=1697414135";"https://store.steampowered.com/app/1578650/Citizen_Sleeper?snr=1_2300_4__salebrowseall";1
198;"Time Wasters";"₩ 5,600";"₩ 4,480";"-20%";"Time Wasters는 우주 슈팅 게임 총알 천국 로그라이트입니다 무기를 장착 및 업그레이드하고 적의 무리를 파괴하고 Time  Space Cubes를 모아 타임라인을 유리하게 바꾸세요";"https://cdn.cloudflare.steamstatic.com/steam/apps/1290330/header.jpg?t=1695658291";"https://cdn.cloudflare.steamstatic.com/steam/apps/1290330/ss_f0235df982ec652b99deaf28c6ff5634e548548b.1920x1080.jpg?t=1695658291";"https://store.steampowered.com/app/1290330/Time_Wasters?snr=1_2300_4__salebrowseall";1
199;"Machinarium (머시나리움)";"₩ 21,000";"₩ 5,250";"-75%";"Machinarium 머시나리움은 앱스토어 히트 게임인 Samorost 사모로스트와 Botanicula 보타니큘라의 제작자들이 만든 다수 수상에 빛나는 인디 어드벤처 게임입니다 블랙캡 브라더후드 갱이 납치한 로봇 조세프의 여자 친구 베르타를 구하세요";"https://cdn.cloudflare.steamstatic.com/steam/apps/40700/header.jpg?t=1683630220";"https://cdn.cloudflare.steamstatic.com/steam/apps/40700/ss_378574511fd757bc816ce5704580de9313ce0cb1.1920x1080.jpg?t=1683630220";"https://store.steampowered.com/app/40700/Machinarium?snr=1_2300_4__salebrowseall";1
200;"Cuisineer - Artbook";"₩ 11,000";"₩ 9,900";"-10%";"";"https://cdn.cloudflare.steamstatic.com/steam/apps/2591650/header.jpg?t=1699550666";"https://cdn.cloudflare.steamstatic.com/steam/apps/2591650/ss_2c1ae1fc4707509e4027eea8c3e32d6aabbbd0e6.1920x1080.jpg?t=1699550666";"https://store.steampowered.com/app/2591650/Cuisineer__Artbook?snr=1_2300_4__salebrowseall";1
201;"Mount & Blade";"₩ 12,000";"₩ 3,000";"-75%";"Calradia is a land at war offering great riches and even greater dangers to adventurers and mercenaries that flock to shed their blood on its soil With courage and a strong sword an unknown stranger can make a name as a warrior Freeform sandbox gameplay";"https://cdn.cloudflare.steamstatic.com/steam/apps/22100/header.jpg?t=1589227222";"https://cdn.cloudflare.steamstatic.com/steam/apps/22100/0000006040.1920x1080.jpg?t=1589227222";"https://store.steampowered.com/app/22100/Mount__Blade?snr=1_2300_4__salebrowseall";1
202;"Mount & Blade: With Fire & Sword";"₩ 12,000";"₩ 3,000";"-75%";"The standalone expansion for Mount  Blade With Fire  Sword builds and expands upon the highly regarded combat system from Mount  Blade Warband Firearms have been introduced to the battlefield";"https://cdn.cloudflare.steamstatic.com/steam/apps/48720/header.jpg?t=1589227483";"https://cdn.cloudflare.steamstatic.com/steam/apps/48720/ss_721e3815f3891afb8d36849dc0e7cf680c60339b.1920x1080.jpg?t=1589227483";"https://store.steampowered.com/app/48720/Mount__Blade_With_Fire__Sword?snr=1_2300_4__salebrowseall";1
203;"VoiceMelody - Kawaii Voice Changer";"₩ 24,840";"₩ 20,370";"-18%";"저렴한 가격에 고성능 보이스 체인저 영상 제작 브이튜버 활동 게임 모드 제작 등 다양한 용도로 사용할 수 있는 상업용 보이스 체인저를 저렴한 가격에 제공하게 되었습니다";"https://cdn.cloudflare.steamstatic.com/steam/apps/2494860/header.jpg?t=1699541560";"https://cdn.cloudflare.steamstatic.com/steam/apps/2494860/ss_318013b001f9105adae585f5a52752e5096c59df.1920x1080.jpg?t=1699541560";"https://store.steampowered.com/app/2494860/VoiceMelody__Kawaii_Voice_Changer?snr=1_2300_4__salebrowseall";1
